index,output.relations_noOffset,aqs,aqs_initial
held-r-released,7365,0.0001,0.0001
died-r-threw,7365,0.0001,0.0001
dies--falling,7365,0.0001,0.0001
issued-r-which,7365,0.0001,0.0001
issued-r-tsunami warnings,7365,0.0001,0.0001
bailout--threw,7365,0.0001,0.0001
bailout--torched,7365,0.0001,0.0001
it--record - setting,7365,0.0001,0.0001
issued-r-struck,7365,0.0001,0.0001
injuring-r-tsunami,7365,0.0001,0.0001
injuring-r-killing,7365,0.0001,0.0001
injuring--tsunami,7365,0.0001,0.0001
injured-r-traffic jams,7365,0.0001,0.0001
injured-r-panic,7365,0.0001,0.0001
injured-r-killed,7365,0.0001,0.0001
issued--quake,7365,0.0001,0.0001
injured--which,7365,0.0001,0.0001
it--resulting,7365,0.0001,0.0001
it--sleep,7365,0.0001,0.0001
it-r-sleep,7365,0.0001,0.0001
it-r-rocked,7365,0.0001,0.0001
collapsed--confirmed,7365,0.0001,0.0001
it-r-record - setting,7365,0.0001,0.0001
it-r-quake,7365,0.0001,0.0001
avoid--killed,7365,0.0001,0.0001
clouded--took to the streets,7365,0.0001,0.0001
it-r-measures,7365,0.0001,0.0001
it--violent,7365,0.0001,0.0001
died--violent,7365,0.0001,0.0001
died-r-injured,7365,0.0001,0.0001
died-r-it,7365,0.0001,0.0001
it--turned,7365,0.0001,0.0001
died-r-planned,7365,0.0001,0.0001
died--took to the streets,7365,0.0001,0.0001
collapsed--damage,7365,0.0001,0.0001
difficult--fell onto,7365,0.0001,0.0001
bankruptcy--died,7365,0.0001,0.0001
battle-r-dead,7365,0.0001,0.0001
in panic-r-running,7365,0.0001,0.0001
battles--claim,7365,0.0001,0.0001
dream--promoted,7365,0.0001,0.0001
in panic-r-ran,7365,0.0001,0.0001
clashes--made the round,7365,0.0001,0.0001
clashes-r-gathered,7365,0.0001,0.0001
dream-r-held,7365,0.0001,0.0001
dream-r-serving,7365,0.0001,0.0001
clashed-r-clouded,7365,0.0001,0.0001
immediate-r-quake,7365,0.0001,0.0001
immediate--struck,7365,0.0001,0.0001
ill-r-slipped,7365,0.0001,0.0001
claim-r-storm,7365,0.0001,0.0001
in panic--shook,7365,0.0001,0.0001
injured--tsunami,7365,0.0001,0.0001
dream--held,7365,0.0001,0.0001
indian ocean - wide-r-quake,7365,0.0001,0.0001
disaster-r-koran reading session,7365,0.0001,0.0001
injured--quake,7365,0.0001,0.0001
injured--leading,7365,0.0001,0.0001
bankruptcy--went up in flames,7365,0.0001,0.0001
bankruptcy-r-battles,7365,0.0001,0.0001
bankruptcy-r-designed,7365,0.0001,0.0001
indian ocean - wide--struck,7365,0.0001,0.0001
bankruptcy-r-died,7365,0.0001,0.0001
bankruptcy-r-furious,7365,0.0001,0.0001
bankruptcy-r-killed,7365,0.0001,0.0001
inexperienced-r-slipped,7365,0.0001,0.0001
bankruptcy-r-saving,7365,0.0001,0.0001
class--explode,7365,0.0001,0.0001
clashes-r-visit,7365,0.0001,0.0001
dream--freestyle,7365,0.0001,0.0001
claim-r-rage,7365,0.0001,0.0001
avert-r-striking,7365,0.0001,0.0001
collapsed--earthquake,7365,0.0001,0.0001
destruction-r-killing,7365,0.0001,0.0001
killed-r-panic,7365,0.0001,0.0001
comes-r-measures,7365,0.0001,0.0001
attacks--protests,7365,0.0001,0.0001
comes-r-it,7365,0.0001,0.0001
killed--under debris,7365,0.0001,0.0001
killed-r-spend,7365,0.0001,0.0001
devastated--injured,7365,0.0001,0.0001
devastated--it,7365,0.0001,0.0001
killed--trapped,7365,0.0001,0.0001
comes--turned,7365,0.0001,0.0001
comes--measures,7365,0.0001,0.0001
comes--it,7365,0.0001,0.0001
killed--struck,7365,0.0001,0.0001
killed--tremor,7365,0.0001,0.0001
comes--died,7365,0.0001,0.0001
killing--landslides,7365,0.0001,0.0001
attack-r-it,7365,0.0001,0.0001
lasted-r-strong,7365,0.0001,0.0001
attack-r-avert,7365,0.0001,0.0001
lasted-r-shake,7365,0.0001,0.0001
destroyed-r-devastated,7365,0.0001,0.0001
landslides-r-reduced,7365,0.0001,0.0001
landslides--reduced,7365,0.0001,0.0001
killing--quake,7365,0.0001,0.0001
landslides--quake,7365,0.0001,0.0001
destroyed-r-felt,7365,0.0001,0.0001
kills--quake,7365,0.0001,0.0001
destroyed-r-killed,7365,0.0001,0.0001
killing-r-wounding,7365,0.0001,0.0001
destroyed-r-panic,7365,0.0001,0.0001
killing--wounding,7365,0.0001,0.0001
landed-r-needed,7365,0.0001,0.0001
died--record - setting,7365,0.0001,0.0001
comes--demonstrations,7365,0.0001,0.0001
killed--spend,7365,0.0001,0.0001
kicked off--took to,7365,0.0001,0.0001
devastated-r-panic,7365,0.0001,0.0001
attending-r-landed,7365,0.0001,0.0001
avert--bankruptcy,7365,0.0001,0.0001
avert--battles,7365,0.0001,0.0001
devastated-r-rocked,7365,0.0001,0.0001
attending--landed,7365,0.0001,0.0001
collapsed-r-confirmed,7365,0.0001,0.0001
avert--killed,7365,0.0001,0.0001
its-r-struck,7365,0.0001,0.0001
collapsed--sustained,7365,0.0001,0.0001
its--located,7365,0.0001,0.0001
died--measures,7365,0.0001,0.0001
it-r-tsunami,7365,0.0001,0.0001
joined--violence,7365,0.0001,0.0001
devastated--killed,7365,0.0001,0.0001
attending--explode,7365,0.0001,0.0001
devastated-r-killing,7365,0.0001,0.0001
collapsing-r-injured,7365,0.0001,0.0001
killed--slipping,7365,0.0001,0.0001
devastated--tsunami,7365,0.0001,0.0001
attended--coverage,7365,0.0001,0.0001
killed--quake,7365,0.0001,0.0001
devastated--which,7365,0.0001,0.0001
killed--koran reading session,7365,0.0001,0.0001
killed--pregnant,7365,0.0001,0.0001
attended--strike,7365,0.0001,0.0001
devastated-r-flattened,7365,0.0001,0.0001
killed--major earthquake,7365,0.0001,0.0001
collapsed-r-sustained,7365,0.0001,0.0001
collapsed-r-koran reading session,7365,0.0001,0.0001
attended-r-referring,7365,0.0001,0.0001
killed--measures,7365,0.0001,0.0001
destroyed--felt,7365,0.0001,0.0001
battles-r-claim,7365,0.0001,0.0001
earthquake--it,7365,0.0001,0.0001
fell-r-hit,7365,0.0001,0.0001
break-r-death,7365,0.0001,0.0001
came-r-quake,7365,0.0001,0.0001
furious-r-killed,7365,0.0001,0.0001
came-r-hit,7365,0.0001,0.0001
freestyle-r-serving,7365,0.0001,0.0001
break--under pressure,7365,0.0001,0.0001
freestyle-r-released,7365,0.0001,0.0001
fell-r-sliding,7365,0.0001,0.0001
freestyle-r-held,7365,0.0001,0.0001
fell-r-sliding down,7365,0.0001,0.0001
freestyle--serving,7365,0.0001,0.0001
felt--struck,7365,0.0001,0.0001
felt--worst - hit,7365,0.0001,0.0001
freestyle-r-promoted,7365,0.0001,0.0001
felt-r-prompting,7365,0.0001,0.0001
fell onto-r-see,7365,0.0001,0.0001
falling-r-killed,7365,0.0001,0.0001
glamour--musicals,7365,0.0001,0.0001
evacuated--quake,7365,0.0001,0.0001
gets-r-protest,7365,0.0001,0.0001
evacuation-r-it,7365,0.0001,0.0001
evacuation-r-registering,7365,0.0001,0.0001
gets--protest,7365,0.0001,0.0001
break--fire,7365,0.0001,0.0001
boxing day earthquake-r-recovered,7365,0.0001,0.0001
experienced--it,7365,0.0001,0.0001
break through--guarding,7365,0.0001,0.0001
