index,output.relations_lemma,aqs,aqs_initial
damage-r-hurt,7365,0.0001,0.0001
injure-r-kill,7365,0.0001,0.0001
injure-r-panic,7365,0.0001,0.0001
claim--storm,7365,0.0001,0.0001
die-r-injure,7365,0.0001,0.0001
die--violent,7365,0.0001,0.0001
injure-r-traffic jam,7365,0.0001,0.0001
issue--quake,7365,0.0001,0.0001
issue-r-strike,7365,0.0001,0.0001
avoid--kill,7365,0.0001,0.0001
issue-r-tsunami warning,7365,0.0001,0.0001
issue-r-which,7365,0.0001,0.0001
die--take to the street,7365,0.0001,0.0001
claim-r-rage,7365,0.0001,0.0001
it--record - set,7365,0.0001,0.0001
it--result,7365,0.0001,0.0001
avert-r-striking,7365,0.0001,0.0001
it--sleep,7365,0.0001,0.0001
claim-r-storm,7365,0.0001,0.0001
it--turn,7365,0.0001,0.0001
die--record - set,7365,0.0001,0.0001
it--violent,7365,0.0001,0.0001
it-r-measure,7365,0.0001,0.0001
it-r-quake,7365,0.0001,0.0001
avert--kill,7365,0.0001,0.0001
it-r-record - set,7365,0.0001,0.0001
clash--make the round,7365,0.0001,0.0001
it-r-rock,7365,0.0001,0.0001
it-r-sleep,7365,0.0001,0.0001
avert--battle,7365,0.0001,0.0001
injure--which,7365,0.0001,0.0001
avert--bankruptcy,7365,0.0001,0.0001
die-r-it,7365,0.0001,0.0001
claim--mobilise,7365,0.0001,0.0001
bankruptcy-r-design,7365,0.0001,0.0001
chant-r-chase,7365,0.0001,0.0001
bankruptcy-r-battle,7365,0.0001,0.0001
chant-r-guard,7365,0.0001,0.0001
ill-r-slip,7365,0.0001,0.0001
immediate--strike,7365,0.0001,0.0001
immediate-r-quake,7365,0.0001,0.0001
dream--freestyle,7365,0.0001,0.0001
disaster-r-koran reading session,7365,0.0001,0.0001
bankruptcy--go up in flame,7365,0.0001,0.0001
in panic--shake,7365,0.0001,0.0001
circle-r-launch,7365,0.0001,0.0001
bankruptcy--die,7365,0.0001,0.0001
in panic-r-run,7365,0.0001,0.0001
circle-r-two bombing raid,7365,0.0001,0.0001
indian ocean - wide--strike,7365,0.0001,0.0001
indian ocean - wide-r-quake,7365,0.0001,0.0001
difficult--fall onto,7365,0.0001,0.0001
die-r-throw,7365,0.0001,0.0001
die-r-plan,7365,0.0001,0.0001
inexperienced-r-slip,7365,0.0001,0.0001
claim--death,7365,0.0001,0.0001
injure--lead,7365,0.0001,0.0001
claim--decide,7365,0.0001,0.0001
bailout--torch,7365,0.0001,0.0001
bailout--throw,7365,0.0001,0.0001
injure--quake,7365,0.0001,0.0001
claim--event,7365,0.0001,0.0001
claim--fire,7365,0.0001,0.0001
injure--tsunami,7365,0.0001,0.0001
