unit,duration,input.events1,input.index,input.number,input.pair1,input.pair1_lemma,input.pair1_noOffset,input.pair2,input.pair2_lemma,input.pair2_noOffset,input.pair3,input.pair3_lemma,input.pair3_noOffset,input.pair4,input.pair4_lemma,input.pair4_noOffset,input.pair5,input.pair5_lemma,input.pair5_noOffset,input.pair6,input.pair6_lemma,input.pair6_noOffset,input.relations,input.relations_noOffset,input.sentence1,input.sentence1_id,job,metrics.avg_annotations,metrics.avg_cos_clarity,metrics.avg_unique_annotations,output.relations_lemma.annotations,output.relations_lemma.cos_clarity,output.relations_lemma.unique_annotations,worker,uqs,uqs_initial,event-event_pair,no_of_annotations,event-event_pair_final_score,event-event_pair_initial_score
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,name--reveal,4,0.26916312254609853,0.26666666666666666
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,name-r-reveal,1,0.11543102418878345,0.06666666666666667
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,reveal--violation,3,0.08803421117782752,0.2
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,reveal-r-violation,2,0.08695214285325166,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,lawsuit--reveal,2,0.1068050883138368,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,lawsuit-r-reveal,2,0.2246892374624793,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,death--reveal,2,0.2210923767887088,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,death-r-reveal,0,0.0,0.0
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,name--violation,1,0.12110141006344337,0.06666666666666667
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","name, reveal","named, revealed","revealed_47_55, violations_175_185","reveal, violation","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuit, reveal","lawsuits, revealed","revealed_47_55, death_29_34","death, reveal","death, revealed","named_106_111, violations_175_185","name, violation","named, violations","named_106_111, lawsuits_128_136","lawsuit, name","lawsuits, named",revealed_47_55-r-violations_175_185,revealed-r-violations,"In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset_lemma,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090752050696801451,0.097207408445009455,name-r-violation,1,0.04216404049997175,0.06666666666666667
