unit,duration,input.events1,input.index,input.number,input.pair1,input.pair1_noOffset,input.pair2,input.pair2_noOffset,input.pair3,input.pair3_noOffset,input.pair4,input.pair4_noOffset,input.pair5,input.pair5_noOffset,input.pair6,input.pair6_noOffset,input.sentence1,input.sentence1_id,job,metrics.avg_annotations,metrics.avg_cos_clarity,metrics.avg_unique_annotations,output.relations_noOffset.annotations,output.relations_noOffset.cos_clarity,output.relations_noOffset.unique_annotations,worker,uqs,uqs_initial,event-event_pair,no_of_annotations,event-event_pair_final_score,event-event_pair_initial_score
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,named--revealed,4,0.26941835428455685,0.26666666666666666
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,named-r-revealed,1,0.11539121023304098,0.06666666666666667
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,revealed--violations,3,0.08769902415357204,0.2
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,revealed-r-violations,2,0.08672376966464859,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,lawsuits--revealed,2,0.10657279926023686,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,lawsuits-r-revealed,2,0.22494946201177227,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,death--revealed,2,0.22133653880386245,0.13333333333333333
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,death-r-revealed,0,0.0,0.0
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,named--violations,1,0.12133530701298544,0.06666666666666667
1303753826,148.40000000000001,revealed_47_55###named_106_111###violations_175_185###lawsuits_128_136###death_29_34,2,64,"revealed_47_55, named_106_111","named, revealed","revealed_47_55, violations_175_185","revealed, violations","revealed_47_55, lawsuits_128_136","lawsuits, revealed","revealed_47_55, death_29_34","death, revealed","named_106_111, violations_175_185","named, violations","named_106_111, lawsuits_128_136","lawsuits, named","In the days following Gray's death , it's been revealed that both Mourad and Cordova have reportedly been named in five federal lawsuits with plaintiffs alleging civil rights violations .",19_2ecbplus.xml_13,crowdflower/causal_relations_preliminary_noOffset,22.0,0.55470019622522915,11.0,22,0.55470019622522915,11,15,0.090836818162151903,0.097207408445009455,named-r-violations,1,0.04209410895047094,0.06666666666666667
