worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
43522574,185.0,1.0,1,1,1,2.86519651294e-07,0.00378570671431
44229723,19.0,1.0,1,2,2,0.00021310630016,0.00312597972675
8715359,176.0,1.0,1,1,1,0.00116679869785,0.00429172691519
43975211,14.0,1.0,1,2,2,0.00282980973889,0.0116261503964
44195361,94.25,1.0,1,4,4,0.00325173420839,0.0210834090465
42577934,34.5,1.0,1,2,2,0.00363154718824,0.00693422844397
44060750,11.0,1.0,1,1,1,0.00667866714022,0.0061006278388
44237949,44.6666666667,1.0,1,3,3,0.00890548652244,0.0209398833438
44126851,85.75,1.0,1,4,4,0.0126273603376,0.0181534821023
44031573,42.0,1.0,1,1,1,0.0146698700328,0.0460162731478
44177859,235.0,1.0,1,1,1,0.0148642970024,0.0152359304269
44015607,159.0,1.25,1,4,4,0.0150280735879,0.0231103989247
44176903,41.0,1.0,1,1,1,0.0157087179649,0.0206404608625
36518845,49.0,1.0,1,2,2,0.0164126849118,0.0230567407939
35962748,125.0,1.0,1,1,1,0.0168968287057,0.0487348742301
14528761,22.0,1.0,1,1,1,0.0206823805807,0.0326760441692
44179448,35.9473684211,1.0,1,19,19,0.0211981557186,0.0199148965716
44208196,53.0,1.0,1,5,5,0.0224649216936,0.014659638704
44141802,88.3333333333,1.66666666667,1,3,3,0.0245259203374,0.0675079943279
20407931,32.7142857143,1.0,1,7,7,0.024573593915,0.0284943996668
44221734,22.0,4.0,1,1,1,0.0256561150777,0.0481061880502
44162476,10.5,6.0,1,2,2,0.0269594458764,0.0519138255899
44227220,133.0,1.0,1,4,4,0.0302179652154,0.0670835507886
43939644,115.666666667,1.0,1,3,3,0.030955212543,0.0394789199825
44082600,144.5,4.0,1,2,2,0.0310734182134,0.0555566512322
44293663,251.25,1.0,1,4,4,0.0347100159749,0.042681509739
44159593,247.333333333,1.0,1,6,6,0.035242948466,0.0465490646247
44303435,16.8666666667,1.0,1,15,15,0.0359658149445,0.0411452739373
44111966,21.3333333333,1.0,1,18,18,0.0384594133928,0.0480502123971
41127744,25.7666666667,1.16666666667,1,30,30,0.0414307898104,0.0413648065276
44032696,129.5,1.0,1,4,4,0.0416580258552,0.0484300447676
43517926,145.5,1.0,1,2,2,0.042962281766,0.0296508588713
3671372,23.0,1.0,1,1,1,0.0477093104744,0.0557982688036
31508822,36.1515151515,1.0303030303,1,33,33,0.0494326842431,0.0350789152436
44215146,203.307692308,1.07692307692,1,13,13,0.0516013212594,0.0588177840675
43985816,39.2888888889,1.0,1,45,45,0.0546841520259,0.0660539289233
15577915,14.5,1.16666666667,1,6,6,0.0553298962399,0.069613910211
11106820,104.466666667,1.0,1,15,15,0.056276048646,0.0802686575419
36468266,37.0769230769,1.0,1,39,39,0.0578373446087,0.0461732207267
44217097,41.08,1.0,1,25,25,0.0578505982528,0.0931552049482
17950689,116.904761905,1.0,1,63,63,0.0610227037806,0.0384940606547
44113725,196.136363636,1.0,1,22,22,0.0613940405476,0.0573709421861
44303445,12.4,1.0,1,15,15,0.0616849546815,0.0534302005808
43984981,35.593220339,1.0,1,59,59,0.0629261616897,0.0693093492968
44217072,39.1578947368,1.0,1,38,38,0.0682008064709,0.116239123336
44217106,67.4871794872,1.0,1,39,39,0.0687226563085,0.116762246872
40725179,75.6,1.0,1,15,15,0.0692403332502,0.0643760826103
19302668,69.0,1.0,1,1,1,0.0746473611871,0.0425684140435
6576528,42.6326530612,1.04081632653,1,49,49,0.0752295473433,0.0612694031955
43650804,48.1333333333,1.2,1,15,15,0.0752783549052,0.0752106026522
43972054,45.4545454545,1.0,1,11,11,0.0762953385315,0.0580646750402
44221674,38.0,1.0,1,1,1,0.0763375388907,0.132854444279
24835873,30.6386554622,1.01680672269,1,119,119,0.0763790041333,0.0571473986586
43665383,48.0666666667,1.0,1,15,15,0.0770450006446,0.0559931083772
43883205,42.6470588235,1.0,1,17,17,0.0797877117033,0.0706817435795
44054282,127.772727273,1.63636363636,1,22,22,0.080832092553,0.0664668340095
44265785,158.6,1.0,1,5,5,0.0809543970535,0.101121064894
44223324,60.0,3.0,1,2,2,0.0848487632374,0.0669541557575
44207097,49.4761904762,1.0,1,63,63,0.085000665626,0.0978870593986
44282818,106.692307692,1.0,1,26,26,0.0852629245167,0.0629562440431
8261925,144.5,1.5,1,2,2,0.0857378062462,0.0619931485266
43860631,20.5217391304,2.17391304348,1,23,23,0.0867565628683,0.0797235261481
44203945,41.4,1.0,1,5,5,0.0886097730651,0.0893194952017
43102813,162.411764706,1.29411764706,1,34,34,0.0891129174841,0.0710554026272
44196782,90.55,1.0,1,60,60,0.0904687928978,0.0696955911149
38517728,40.0,1.0,1,4,4,0.0916942835054,0.123892304832
41812828,39.2941176471,1.11764705882,1,17,17,0.0917420925732,0.0899259740018
27770607,38.0891089109,1.0198019802,1,101,101,0.0918718382658,0.0651841988963
19526833,89.8666666667,1.0,1,15,15,0.0936350918182,0.0583207601395
28577612,37.0,2.0,1,1,1,0.0944844186129,0.134746673486
43167893,217.266666667,1.0,1,30,29,0.094678462955,0.0824517270814
44254107,68.0,1.0,1,1,1,0.0953453968341,0.102626371642
44170083,82.8571428571,1.2,1,35,35,0.0955602118787,0.0712698339479
43995157,67.5333333333,1.0,1,15,15,0.0966291091786,0.0786609304237
10959404,30.4473684211,1.05263157895,1,38,38,0.0976402587806,0.08824968848
43785549,94.4666666667,1.26666666667,1,15,15,0.0987333182623,0.0821735908516
44165199,413.0,2.0,1,2,2,0.100894671823,0.151485131066
44215731,48.8666666667,1.0,1,15,15,0.103112897296,0.0597830039052
15004831,141.888888889,2.55555555556,1,9,9,0.103900239644,0.111162097593
41601719,59.0,1.0,1,2,2,0.105249311193,0.066403580162
15925358,98.8,1.0,1,5,5,0.105805098886,0.090375074109
44145380,50.2195121951,1.0,1,41,41,0.10655151546,0.0752649259996
43859546,57.0,2.25,1,4,4,0.109539084984,0.0725842126409
13842059,47.0,1.0,1,9,9,0.111159247728,0.0687331407191
21613169,31.3103448276,1.0,1,29,29,0.111752790611,0.0741572155
44191864,47.6,1.2,1,5,5,0.112428483422,0.090770505473
44044125,28.1923076923,1.21153846154,1,52,52,0.112691688523,0.0884123745473
22396848,21.5,1.25,1,4,4,0.112705477436,0.089483232493
44156284,112.333333333,1.0,1,9,9,0.113627866108,0.105423807983
1914041,28.0,1.0,1,15,15,0.114191570547,0.106128929991
43987776,60.0,1.0,1,2,2,0.114308962763,0.150890199175
44278209,64.825,1.05,1,40,40,0.118799634764,0.070468857475
43887314,72.7727272727,1.04545454545,1,22,22,0.121641635381,0.0644006786555
44102552,31.7333333333,1.13333333333,1,15,15,0.122339378415,0.106716589569
40421145,43.4444444444,1.27777777778,1,18,18,0.12266557456,0.0960028567363
44244900,17.25,1.0,1,8,8,0.1238223054,0.0780141982926
44263594,15.0,1.0,1,3,3,0.124162309646,0.10290817557
35797102,25.375,1.125,1,8,8,0.124439059781,0.101386245449
6309240,66.1071428571,1.28571428571,1,28,28,0.124712115041,0.0972797368974
42023252,107.555555556,1.22222222222,1,9,9,0.125302012568,0.097540976415
44276053,187.7,1.9,1,10,10,0.126290447229,0.114785268497
44233968,86.0,1.0,1,13,13,0.127703706189,0.0942506976201
44063920,57.4925373134,1.73134328358,1,67,67,0.128925045472,0.116332685612
44204154,34.58,1.06,1,50,50,0.129820819756,0.129278727642
6342161,84.375,1.0,1,8,8,0.130034068732,0.0808012450894
43584008,24.0,1.0,1,1,1,0.130116752529,0.110431526075
4316379,22.1130434783,1.06956521739,1,115,115,0.130609520931,0.094413537508
39925494,44.75,1.25,1,4,4,0.141179111636,0.096755247549
39013744,34.9736842105,1.0,1,38,38,0.142592484235,0.104695405002
44142811,16.8571428571,1.14285714286,1,49,49,0.144544962858,0.0998787687391
44147081,122.8,1.0,1,15,15,0.144928636695,0.0984174895501
18386513,97.0,1.75,1,12,12,0.146455895925,0.0956661896795
41841195,46.4782608696,1.69565217391,1,23,23,0.146499250171,0.101376774333
44099814,93.3333333333,1.0,1,6,6,0.148688708946,0.1206938812
44213719,68.3333333333,1.33333333333,1,3,3,0.149528705217,0.118676299477
44303302,182.666666667,1.26666666667,1,15,15,0.15034271082,0.112126707339
44038135,71.7941176471,1.0,1,68,68,0.151292486595,0.101232393149
44279073,43.8292682927,1.0,1,41,41,0.151746239757,0.11527154315
43913997,32.0,1.0,1,2,2,0.152064534489,0.138299465923
44230164,68.7142857143,1.42857142857,1,35,35,0.152980726791,0.0908359121758
21875134,362.214285714,1.15476190476,1,84,84,0.155478981485,0.116524786303
44256597,9.0,1.0,1,1,1,0.157933134343,0.0927354031802
44191955,32.8,1.0,1,5,5,0.161746095424,0.13943397996
44068912,69.625,1.16666666667,1,24,24,0.162146491106,0.0974359790182
34070076,37.5333333333,1.6,1,15,15,0.162975738032,0.106485579768
13581319,25.2,1.4,1,5,5,0.163785938874,0.123052265417
44049964,47.5,1.3125,1,64,64,0.163881597801,0.110756629572
44126671,205.666666667,1.02380952381,1,42,42,0.16388475032,0.0931656456382
43854007,36.25,1.25,1,4,4,0.163999340199,0.125580757093
44288864,130.454545455,1.0,1,22,22,0.16414340915,0.120782950316
44322393,83.4871794872,1.0,1,39,39,0.164259343834,0.105080328016
11257883,68.6666666667,1.14285714286,1,21,21,0.164418187037,0.123667796596
44180706,33.9090909091,1.0,1,11,11,0.16482973424,0.0701822858468
1863467,52.1333333333,1.06666666667,1,15,15,0.1662602452,0.109994810736
43670571,17.0,1.0,1,1,1,0.166594153493,0.139896252
38479796,28.125,1.0,1,40,40,0.167733325983,0.0930056850951
35330747,91.6,2.2,1,5,5,0.169094235745,0.15910722244
44244546,49.1666666667,1.83333333333,1,24,24,0.173429617841,0.127318704442
43160111,40.0,1.0,1,10,10,0.175458533147,0.11168488592
44180540,50.8823529412,1.0,1,17,17,0.175534905053,0.114611270645
42393430,30.3333333333,1.33333333333,1,3,3,0.175549680441,0.11799043349
38082417,49.875,1.0,1,8,8,0.175964869326,0.102754070572
31613324,152.28125,1.09375,1,64,64,0.178171241464,0.113385055963
43747423,54.25,2.5,1,4,4,0.178652856262,0.0969145177023
44225611,139.625,1.0,1,32,32,0.180573266048,0.113422407179
43982188,22.5,1.0,1,10,10,0.181089919903,0.115231161078
44304949,132.857142857,1.0,1,7,7,0.184477632708,0.136493591024
22419688,106.5,4.0,1,2,2,0.185419843073,0.184010563802
43861575,13.6612903226,1.06451612903,1,62,62,0.185890097014,0.104058471047
44156370,39.8571428571,1.0,1,14,14,0.186289975169,0.148411243543
41838051,112.52,1.28,1,25,25,0.187012227317,0.123780830955
