index,output.relations_lemma,aqs,aqs_initial
in flame--spy,10155,0.0001,0.0001
drama-r-drive,10155,0.0001,0.0001
downtime-r-suggest,10155,0.0001,0.0001
downtime--seacom,10155,0.0001,0.0001
operate--own,10155,0.0001,0.0001
downtime--go down,10155,0.0001,0.0001
operate-r-own,10155,0.0001,0.0001
order--publish,10155,0.0001,0.0001
at large-r-shoeless,10155,0.0001,0.0001
outage--seacom capacity,10155,0.0001,0.0001
do--work,10155,0.0001,0.0001
dissolve-r-run,10155,0.0001,0.0001
dissolve-r-house,10155,0.0001,0.0001
dissolve--house,10155,0.0001,0.0001
attorney--decide,10155,0.0001,0.0001
disrupt-r-experienced,10155,0.0001,0.0001
disrupt--service,10155,0.0001,0.0001
do-r-need,10155,0.0001,0.0001
attorney-r-case,10155,0.0001,0.0001
at large-r-find,10155,0.0001,0.0001
on foot-r-take off,10155,0.0001,0.0001
drive-r-unharmed,10155,0.0001,0.0001
normally-r-traffic,10155,0.0001,0.0001
assess--fire,10155,0.0001,0.0001
drive-r-sentence,10155,0.0001,0.0001
case--re - hire,10155,0.0001,0.0001
notify-r-reach,10155,0.0001,0.0001
drive-r-lie,10155,0.0001,0.0001
at large--use,10155,0.0001,0.0001
assist--cause,10155,0.0001,0.0001
offender-r-sentence,10155,0.0001,0.0001
drive-r-drunk,10155,0.0001,0.0001
on foot--take off,10155,0.0001,0.0001
drive--violate,10155,0.0001,0.0001
drive--unharmed,10155,0.0001,0.0001
on foot--use,10155,0.0001,0.0001
associate-r-expect,10155,0.0001,0.0001
assist--investigation,10155,0.0001,0.0001
drive-r-violate,10155,0.0001,0.0001
disrupt--experienced,10155,0.0001,0.0001
disciplinary-r-termination,10155,0.0001,0.0001
demolish-r-lose,10155,0.0001,0.0001
pend--rehab,10155,0.0001,0.0001
defend-r-stop,10155,0.0001,0.0001
perform--require,10155,0.0001,0.0001
beat--survive,10155,0.0001,0.0001
decision-r-reach,10155,0.0001,0.0001
sentence--suffer,10155,0.0001,0.0001
deny--fire,10155,0.0001,0.0001
decide-r-stay,10155,0.0001,0.0001
decide-r-rehab,10155,0.0001,0.0001
perform-r-treatment,10155,0.0001,0.0001
decide-r-keep,10155,0.0001,0.0001
decide-r-interested,10155,0.0001,0.0001
decide-r-go,10155,0.0001,0.0001
secure-r-service,10155,0.0001,0.0001
decide-r-finding,10155,0.0001,0.0001
decide-r-rehire,10155,0.0001,0.0001
attorney-r-re - hire,10155,0.0001,0.0001
depend--experience,10155,0.0001,0.0001
depend--repair,10155,0.0001,0.0001
