index,output.relations_noOffset,aqs,aqs_initial
judgment--terminated,10155,0.0001,0.0001
call--cause,10155,0.0001,0.0001
call--fire,10155,0.0001,0.0001
call-r-came in,10155,0.0001,0.0001
call-r-mobilization,10155,0.0001,0.0001
finalized--repair,10155,0.0001,0.0001
called--using,10155,0.0001,0.0001
filed-r-sued,10155,0.0001,0.0001
filed-r-judgment,10155,0.0001,0.0001
filed--terminated,10155,0.0001,0.0001
notifying-r-reached,10155,0.0001,0.0001
came in-r-on fire,10155,0.0001,0.0001
jumped--spooked,10155,0.0001,0.0001
jumped-r-showed up,10155,0.0001,0.0001
capacity--services,10155,0.0001,0.0001
capacity-r-managed,10155,0.0001,0.0001
keep--treatment,10155,0.0001,0.0001
keeping--spreading,10155,0.0001,0.0001
keeping--stored,10155,0.0001,0.0001
captured--one,10155,0.0001,0.0001
captured--received,10155,0.0001,0.0001
felt--took place,10155,0.0001,0.0001
call--came in,10155,0.0001,0.0001
restoration-r-securing,10155,0.0001,0.0001
finding--keep,10155,0.0001,0.0001
finding--treatment,10155,0.0001,0.0001
restrained--took hostage,10155,0.0001,0.0001
fire--made,10155,0.0001,0.0001
browsing--experienced,10155,0.0001,0.0001
building--looks forward,10155,0.0001,0.0001
building--statement,10155,0.0001,0.0001
building-r-looks forward,10155,0.0001,0.0001
jail time--stir,10155,0.0001,0.0001
jail time-r-probation,10155,0.0001,0.0001
built-r-destroyed,10155,0.0001,0.0001
jail time-r-risking,10155,0.0001,0.0001
captured--transfer,10155,0.0001,0.0001
fire--history,10155,0.0001,0.0001
burned--foul play,10155,0.0001,0.0001
burned--moved to,10155,0.0001,0.0001
burned-r-dissolve,10155,0.0001,0.0001
finding-r-rehab,10155,0.0001,0.0001
burned-r-moved to,10155,0.0001,0.0001
buying-r-ensconced,10155,0.0001,0.0001
buying-r-rehab,10155,0.0001,0.0001
cable cut-r-problems,10155,0.0001,0.0001
restoration-r-services,10155,0.0001,0.0001
caching solution--p2p traffic,10155,0.0001,0.0001
fire--foul play,10155,0.0001,0.0001
broke-r-think,10155,0.0001,0.0001
keeping-r-spreading,10155,0.0001,0.0001
feedback-r-suggests,10155,0.0001,0.0001
change-r-change,10155,0.0001,0.0001
facing-r-probation,10155,0.0001,0.0001
facing--violating,10155,0.0001,0.0001
facing--smuggled,10155,0.0001,0.0001
charge--given,10155,0.0001,0.0001
receiving-r-surfaced,10155,0.0001,0.0001
charge-r-given,10155,0.0001,0.0001
receiving-r-spent,10155,0.0001,0.0001
charged--following,10155,0.0001,0.0001
received-r-treatment,10155,0.0001,0.0001
faced-r-termination,10155,0.0001,0.0001
charged-r-stay,10155,0.0001,0.0001
face-r-leaving,10155,0.0001,0.0001
extinguished--total loss,10155,0.0001,0.0001
received-r-suffered,10155,0.0001,0.0001
charges-r-escaped,10155,0.0001,0.0001
charges-r-sentence,10155,0.0001,0.0001
check - in--enter,10155,0.0001,0.0001
check - in--flout,10155,0.0001,0.0001
check - in-r-flout,10155,0.0001,0.0001
check in .--unlicensed,10155,0.0001,0.0001
rehab--remain,10155,0.0001,0.0001
challenge--round,10155,0.0001,0.0001
caused--fire,10155,0.0001,0.0001
cause-r-using,10155,0.0001,0.0001
feedback--went down,10155,0.0001,0.0001
case--drunk,10155,0.0001,0.0001
remaining--return,10155,0.0001,0.0714285714286
case--re - hired,10155,0.0001,0.0001
fan-r-is,10155,0.0001,0.0001
case--violation,10155,0.0001,0.0001
case-r-comply,10155,0.0001,0.0001
case-r-deal,10155,0.0001,0.0001
case-r-drunk,10155,0.0001,0.0001
case-r-handed down,10155,0.0001,0.0001
keeping-r-survey,10155,0.0001,0.0001
case-r-plea,10155,0.0001,0.0001
remain--should,10155,0.0001,0.0001
case-r-unlicensed,10155,0.0001,0.0001
relieved-r-served,10155,0.0001,0.0001
rehab-r-treatment,10155,0.0001,0.0001
fan--is,10155,0.0001,0.0001
rehab-r-rehires,10155,0.0001,0.0001
knockout-r-wins,10155,0.0001,0.0001
factors-r-impact,10155,0.0001,0.0001
cause--identify,10155,0.0001,0.0001
cause--under way,10155,0.0001,0.0001
case-r-probation,10155,0.0001,0.0001
jail time--probation,10155,0.0001,0.0001
broke out-r-fought,10155,0.0001,0.0001
fire--took,10155,0.0001,0.0001
in flames--spied,10155,0.0001,0.0001
assess--fire,10155,0.0001,0.0001
found-r-smuggled,10155,0.0001,0.0001
found-r-shoeless,10155,0.0001,0.0001
found--smuggled,10155,0.0001,0.0001
found--shoeless,10155,0.0001,0.0001
assisting--cause,10155,0.0001,0.0001
assisting--investigation,10155,0.0001,0.0001
foul play--pattern,10155,0.0001,0.0001
forced-r-restrained,10155,0.0001,0.0001
forced-r-released,10155,0.0001,0.0001
associated-r-expected,10155,0.0001,0.0001
at large--use,10155,0.0001,0.0001
at large-r-found,10155,0.0001,0.0001
at large-r-shoeless,10155,0.0001,0.0001
fooled--pretending,10155,0.0001,0.0001
sentences--suffered,10155,0.0001,0.0001
flowing-r-traffic,10155,0.0001,0.0001
flowing-r-monitor,10155,0.0001,0.0001
flowing--normally,10155,0.0001,0.0001
attorney--checks into,10155,0.0001,0.0001
assault-r-sentenced,10155,0.0001,0.0001
getting out--pulled up,10155,0.0001,0.0001
assault--spent time,10155,0.0001,0.0001
given--indecency,10155,0.0001,0.0001
gone--keep,10155,0.0001,0.0001
arrived-r-extinguished,10155,0.0001,0.0001
arrived-r-saw,10155,0.0001,0.0001
arrived-r-total loss,10155,0.0001,0.0001
arrived-r-try their hand,10155,0.0001,0.0001
arson--broke out,10155,0.0001,0.0001
should--trust,10155,0.0001,0.0001
shopping--unlicensed,10155,0.0001,0.0001
going--news,10155,0.0001,0.0001
arson-r-broke out,10155,0.0001,0.0001
attorney--decided,10155,0.0001,0.0001
going back-r-interested,10155,0.0001,0.0001
going back--knows,10155,0.0001,0.0001
asked--cause,10155,0.0001,0.0001
given-r-supervision,10155,0.0001,0.0001
asked--investigation,10155,0.0001,0.0001
given-r-revoked,10155,0.0001,0.0001
shackled--smuggled,10155,0.0001,0.0001
asked-r-call,10155,0.0001,0.0001
given-r-investigate,10155,0.0001,0.0001
asked-r-took place,10155,0.0001,0.0001
given--said,10155,0.0001,0.0001
arson-r-following,10155,0.0001,0.0001
sentence-r-stay,10155,0.0001,0.0001
attorney-r-case,10155,0.0001,0.0001
attorney-r-re - hired,10155,0.0001,0.0001
blocking--services,10155,0.0001,0.0001
intent-r-theft,10155,0.0001,0.0001
fired-r-history,10155,0.0001,0.0001
interested--knows,10155,0.0001,0.0001
fired--restrained,10155,0.0001,0.0001
fired--history,10155,0.0001,0.0001
investigate--said,10155,0.0001,0.0001
investigating--robbery,10155,0.0001,0.0001
