worker,worker-cosine,job,duration,output.relations_noOffset.count,judgment,unit,worker-agreement,spam,wqs,wqs_initial
7265244,1.0,1,38.0,2.0,1,1,0.0,True,0.0,0.0
18969291,0.910912919363,1,6.0,1.0,1,1,0.0714285714286,False,1.44297066032e-05,0.00636336290268
40703758,0.960450662757,1,139.25,1.0,4,4,0.0185185185185,False,2.08378887932e-05,0.00111398495977
43332393,0.8624203552,1,126.333333333,1.0,3,3,0.0636288998358,False,0.00227332677191,0.0102185380567
25496660,0.7284685431,1,14.6666666667,1.83333333333,6,6,0.0803093203093,False,0.015750377453,0.038152239697
28526462,0.781782109764,1,53.0,1.0,1,1,0.142857142857,False,0.0195962113313,0.0311739843194
7348582,0.773866491567,1,50.5,1.0,2,2,0.1,False,0.0260017140017,0.0242285901893
36891115,0.798581513343,1,66.1578947368,1.14035087719,57,57,0.13387008633,False,0.030029697588,0.0287165578717
17950689,0.75298981042,1,119.179487179,1.0,39,39,0.135052071102,False,0.0311594713434,0.0387205768045
41127744,0.71916940531,1,48.9666666667,1.13333333333,30,30,0.163077745051,False,0.0526759550308,0.0560309590655
43611950,0.721797491416,1,22.4,1.8,5,5,0.112098214286,False,0.0554705178112,0.0502311079077
43630454,0.718619779136,1,55.099009901,1.12871287129,101,101,0.152389441204,False,0.0559035621704,0.0507534624423
43498598,0.754584803602,1,10.0,1.66666666667,3,3,0.112801932367,False,0.0644901347173,0.046680140943
11767390,0.648389700701,1,13.7142857143,2.71428571429,14,14,0.121530412946,False,0.0705153998703,0.0690723010241
13197642,0.680927498541,1,47.6666666667,1.73333333333,15,15,0.196690625936,False,0.0719207619392,0.0598072865332
38479796,0.709841866319,1,22.25,1.01666666667,60,60,0.191393364525,False,0.0732654855898,0.0581057322973
42693607,0.68734707716,1,49.2959183673,1.11224489796,98,98,0.145965525545,False,0.0761016223278,0.0637809839995
20483583,0.558861213963,1,49.5,1.25,4,4,0.228598484848,False,0.0855247840482,0.142691320233
39531214,0.708062239419,1,28.7,2.13333333333,30,30,0.136859041415,False,0.0930004188792,0.0578602506082
43476716,0.6338531119,1,43.8666666667,1.6,30,30,0.154713050603,False,0.114591885003,0.0819592252069
30188660,0.636765069235,1,37.0909090909,1.0,11,11,0.208421004061,False,0.116426687987,0.0807919003552
27597031,0.707702998624,1,36.9166666667,1.08333333333,12,12,0.138410446921,False,0.117300191063,0.0593410162812
19780901,0.447689564407,1,68.3333333333,1.0,3,3,0.267361111111,False,0.121681653694,0.172359240207
42609241,0.607033962279,1,79.1276595745,1.10638297872,47,47,0.24963129921,False,0.122958573631,0.110792607648
43698588,0.696434615901,1,74.0666666667,1.93333333333,15,15,0.158827769453,False,0.125939529409,0.065373091141
2044524,0.632342347375,1,32.4333333333,1.26666666667,30,30,0.248979202747,False,0.128766665849,0.103849713544
43680640,0.492907447163,1,72.0,2.0,1,1,0.166666666667,False,0.141077415021,0.12366587652
6576528,0.588559818027,1,42.4252873563,1.67816091954,87,87,0.223389419581,False,0.173749674211,0.112390682746
14555684,0.567642631513,1,33.0666666667,1.06666666667,15,15,0.227576027147,False,0.192384935474,0.124137332832
11001780,0.581090801168,1,76.0,1.75,4,4,0.165873015873,False,0.193247677515,0.10215133303
24992939,0.582111683261,1,22.9850746269,1.16417910448,67,67,0.249499313318,False,0.200712020795,0.124538801592
43534804,0.51294992629,1,81.3333333333,1.06666666667,15,15,0.279169110459,False,0.21179517541,0.171460060715
14723284,0.606098631829,1,28.4,1.33333333333,30,30,0.197133757614,False,0.21562387533,0.0959438597759
26649250,0.514752520585,1,31.0,1.0,1,1,0.208333333333,False,0.215896687821,0.173229479727
43645733,0.574216940656,1,42.4285714286,1.14285714286,7,7,0.240555555556,False,0.227386006532,0.130690374174
39912464,0.577782423128,1,71.0,6.5,2,2,0.214191919192,False,0.235481884596,0.140859540523
39339973,0.56233459442,1,38.2307692308,3.53846153846,65,65,0.229166058989,False,0.240710869601,0.124879343514
15555970,0.459261929564,1,49.0,1.0,1,1,0.255952380952,False,0.249379513155,0.225362309716
39664721,0.474290977032,1,56.8,1.2,5,5,0.224014336918,False,0.253197999768,0.169118051029
43704483,0.514184093763,1,47.8888888889,1.15555555556,45,45,0.310088487027,False,0.253266782033,0.174762891867
43709087,0.510759107683,1,217.933333333,1.13333333333,15,15,0.268742183742,False,0.255423619934,0.179734700808
36174227,0.569618821025,1,77.0,1.0,2,2,0.193137254902,False,0.26691092708,0.130371159991
39127197,0.634857953168,1,20.0,1.5,2,2,0.11,False,0.270486247739,0.0564812951998
22500775,0.541978350449,1,53.7368421053,1.10526315789,19,19,0.274230506833,False,0.278675508071,0.130226621597
1924522,0.502200159594,1,22.6923076923,1.61538461538,13,13,0.294380770919,False,0.283489015053,0.166962576103
27770607,0.456137086264,1,20.625,1.0625,16,16,0.365743802824,False,0.288178266937,0.202149770925
11145155,0.497424940324,1,28.4,3.0,10,10,0.236149140212,False,0.290456408219,0.163805238645
40233359,0.422718517842,1,75.0,1.2,5,5,0.357083333333,False,0.291731597626,0.201431171794
43719192,0.500345849127,1,58.5384615385,3.0,26,26,0.248290947767,False,0.292009989161,0.174240434539
42660466,0.516888215921,1,60.625,3.625,8,8,0.160209656085,False,0.292500787795,0.135440040717
42544704,0.458804860084,1,20.3846153846,1.0,13,13,0.376498797499,False,0.295454956603,0.20691658868
20312760,0.481573831647,1,55.625,1.5,32,32,0.30211640251,False,0.307781202465,0.183071041902
6082058,0.514924099453,1,182.4,2.4,15,15,0.210150780767,False,0.308988171634,0.14767210861
24835873,0.488481473564,1,29.7339449541,1.01834862385,109,109,0.302135543739,False,0.309871223994,0.1904913271
16854635,0.450458098459,1,55.7307692308,1.15384615385,52,52,0.375005815023,False,0.314325847216,0.219250683469
32338429,0.45648291693,1,62.5,1.0,4,4,0.45625,False,0.315726952363,0.238075707017
24043308,0.471998023732,1,42.9090909091,1.40909090909,44,44,0.241972013781,False,0.317226404485,0.170597560916
28810858,0.475033793265,1,61.6666666667,1.66666666667,3,3,0.416666666667,False,0.329563137446,0.239825980538
10959404,0.45227187499,1,38.7631578947,1.05263157895,38,38,0.281560629398,False,0.334454198356,0.197352452447
43713735,0.416996104676,1,36.914893617,1.04255319149,47,47,0.331900574299,False,0.3578605121,0.245351614149
29849805,0.39385496968,1,97.5,1.5,10,10,0.36691017316,False,0.368485230336,0.28035237647
4316379,0.443323107841,1,24.8586956522,1.1847826087,92,92,0.321629919291,False,0.372161393969,0.216496494834
41161616,0.406937158244,1,164.705882353,1.0,17,17,0.350403157717,False,0.374705589074,0.234685156091
39226056,0.443704196758,1,151.621621622,1.48648648649,37,37,0.321280595245,False,0.381605411099,0.194530124974
31585669,0.471317259808,1,61.5555555556,3.0,18,18,0.239858329237,False,0.382075387498,0.192754515702
