_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,browser,browser_height,browser_width,feedback,tags,time_after,time_before,time_during,time_total,duration,id,url
975235260,6/14/2016 16:19:06,2021467507,6/14/2016 16:18:00,FALSE,clixsense,0.5188,36313199,CAN,ON,Toronto,108.63.116.202,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,602,1252,,"obama holding head, dragon with heads, obama with sword, bloody sword, fear",51.3,9,5,65.4,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 16:19:37,2021467790,6/14/2016 16:18:22,FALSE,clixsense,0.6646,36530035,CAN,ON,Scarborough,135.23.147.117,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",955,1920,,"obama, political cartoon, satire, hydra, terrorists, beheaded, monster, victory",51.3,10.3,4.9,66.6,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 16:27:32,2021471170,6/14/2016 16:27:07,FALSE,fusioncash,0.6325,22139728,CAN,ON,Toronto,99.245.212.75,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0E; .NET4.0C; GWX:DOWNLOADED; GWX:RESERVED; GWX:QUALIFIED; rv:11.0) like Gecko,644,1366,No,"Obama, Taliban",7.7,11,4.9,23.8,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 16:29:39,2021472096,6/14/2016 16:29:01,FALSE,clixsense,0.2667,20057149,CAN,QC,Montr̩al,97.107.215.5,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",753,1067,,"hydra, muslim",11.5,18.4,5,35,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 16:29:54,2021472269,6/14/2016 16:29:15,FALSE,neodev,0.366,33801943,USA,NY,New York,104.236.251.167,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",649,1024,no,the precidente of the United States cutting heads,7.9,7.7,4.9,20.7,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 16:43:52,2021479048,6/14/2016 16:42:40,FALSE,clixsense,0.2575,6336109,CAN,,,198.254.194.246,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",958,1079,,"cartoon, dragon, muslim, obama",24.4,34.8,4.9,64.3,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 16:45:35,2021479859,6/14/2016 16:45:13,FALSE,prodege,0.3768,15326481,USA,IL,Blue Island,108.90.173.63,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",767,1440,,"Obama, dragon, American flag",11,5.2,5,21.2,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 17:12:30,2021492777,6/14/2016 17:11:42,FALSE,elite,0.2828,37946670,USA,CA,Hacienda Heights,108.23.61.59,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,792,1221,,"political cartoon,obama,beast,",22.7,18.8,5,46.6,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 17:17:24,2021494975,6/14/2016 17:16:49,FALSE,instagc,0.3903,23287154,USA,CA,San Jose,50.184.60.102,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,971,1920,The timer is really short!,"obama, sword, muslim, blood",17.6,10.2,5,32.9,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235260,6/14/2016 17:21:59,2021497083,6/14/2016 17:20:02,FALSE,prodege,0.375,37195588,CAN,ON,Woodstock,142.114.84.248,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MAAR; InfoPath.2; .NET4.0C; .NET CLR 1.1.4322; .NET4.0E; GWX:QUALIFIED; rv:11.0) like Gecko,673,1366,,"cartoon, ISIS portrayal, American President, beheading, America wins",66.8,42.1,4.9,114,5,1,http://www.vismet.org/VisMet/images/full/image_135.jpg
975235261,6/14/2016 16:20:13,2021468103,6/14/2016 16:19:07,FALSE,clixsense,0.5188,36313199,CAN,ON,Toronto,108.63.116.202,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,602,1252,,"animals with instruments, elephants and tubas, clouds with notes, African musical animals",38,6.6,20,64.7,20,2,http://www.vismet.org/VisMet/images/full/image_163.jpg
975235261,6/14/2016 16:20:56,2021468458,6/14/2016 16:19:38,FALSE,clixsense,0.6646,36530035,CAN,ON,Scarborough,135.23.147.117,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",955,1920,,"painting, music, clouds, elephants, tuba, brass instruments, instruments, safari, antelope, cranes, surrealism",50.7,7.1,19.9,77.8,20,2,http://www.vismet.org/VisMet/images/full/image_163.jpg
975235261,6/14/2016 16:28:09,2021471419,6/14/2016 16:27:33,FALSE,fusioncash,0.6325,22139728,CAN,ON,Toronto,99.245.212.75,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0E; .NET4.0C; GWX:DOWNLOADED; GWX:RESERVED; GWX:QUALIFIED; rv:11.0) like Gecko,644,1366,No,"Elephant, Antelope, Africa, Tuba, Flamingos",6.6,7.3,20,34,20,2,http://www.vismet.org/VisMet/images/full/image_163.jpg
975235261,6/14/2016 16:30:14,2021472373,6/14/2016 16:29:40,FALSE,clixsense,0.2667,20057149,CAN,QC,Montr̩al,97.107.215.5,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",753,1067,,"elephant, trombone, harp, deer",7.4,5.7,20,33.2,20,2,http://www.vismet.org/VisMet/images/full/image_163.jpg
975235261,6/14/2016 16:30:46,2021472671,6/14/2016 16:29:57,FALSE,neodev,0.366,33801943,USA,NY,New York,104.236.251.167,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",649,1024,no,animals with body parts as instruments,6.3,5.6,10.6,22.6,20,2,http://www.vismet.org/VisMet/images/full/image_163.jpg
