worker,worker-cosine,job,output.relations.count,duration,judgment,unit,worker-agreement,spam,wqs,wqs_initial
39226056,1.0,1,1.0,271.0,1,1,0.0,True,0.0,0.0
8715359,0.939915823187,1,1.0,176.0,1,1,0.0714285714286,False,0.00236388912158,0.00429172691519
43923861,0.91723941114,1,1.0,66.0,1,1,0.0714285714286,False,0.00344267948775,0.00591147063287
44214817,0.82310464613,1,2.375,21.375,8,8,0.0628686635945,False,0.0112844031117,0.0125229167644
6082058,0.805193492318,1,2.66666666667,91.0,3,3,0.0475308641975,False,0.0115006765537,0.0151786316179
43975211,0.715939762616,1,1.0,58.4666666667,15,15,0.168318318318,False,0.0149246527282,0.0554593796797
44022928,0.669386642998,1,1.0,13.1428571429,7,7,0.16156462585,False,0.0156443920896,0.0775929307249
43971951,0.650592261611,1,1.0,24.3333333333,9,9,0.19099378882,False,0.0160913255458,0.0804192413751
44209263,0.811017763495,1,2.0,28.0,1,1,0.0714285714286,False,0.016226514176,0.019090088708
42577934,0.81980245839,1,1.05882352941,39.9411764706,17,17,0.0485476190476,False,0.0183133816892,0.0163844540723
44208196,0.788660999689,1,1.0,165.789473684,19,19,0.0832697302697,False,0.0184735486416,0.020215352441
44162427,0.809005964203,1,1.0,212.8,15,15,0.119834119834,False,0.0190700535465,0.0195433387485
43984981,0.763603913404,1,1.00917431193,47.1376146789,109,109,0.136195360694,False,0.0198610839142,0.0357413912855
44031573,0.827801085601,1,1.0,38.6666666667,6,6,0.0679951690821,False,0.0264628358435,0.0188902174431
44064888,0.762782001564,1,1.0,107.571428571,7,7,0.183286951144,False,0.0276549338402,0.029951789301
44181754,0.744848853011,1,1.06666666667,198.666666667,15,15,0.118896395412,False,0.0288550727278,0.0383496173375
20407931,0.770330325929,1,1.0,32.7142857143,7,7,0.1470143613,False,0.030445608415,0.0284943996668
35962748,0.772570586926,1,1.0,125.0,1,1,0.214285714286,False,0.0325619162175,0.0487348742301
44005605,0.711701621261,1,1.0,99.3333333333,9,9,0.107064909297,False,0.037619688595,0.0397542954293
14528761,0.709979053286,1,1.0,22.0,1,1,0.0595238095238,False,0.0390356848241,0.0326760441692
44227220,0.664582246057,1,1.0,133.0,4,4,0.263888888889,False,0.0407307645463,0.0670835507886
44111966,0.724086172308,1,1.0,21.3333333333,18,18,0.150880237929,False,0.0412888422507,0.0480502123971
41601719,0.706187090625,1,2.75,63.25,4,4,0.084693877551,False,0.0419450461847,0.0418184336959
30145358,0.728392761872,1,1.0,72.0,1,1,0.285714285714,False,0.0429306576898,0.0582015510273
44303435,0.721147026862,1,1.0,16.8666666667,15,15,0.165530045351,False,0.0460874428831,0.0414727117738
44250230,0.595575069404,1,2.0,88.5,2,2,0.132291666667,False,0.0487405292235,0.0776306055128
44222882,0.65197461543,1,1.0,99.0666666667,15,15,0.175169928111,False,0.0500458345567,0.0632121038444
44159593,0.711811554153,1,1.0,247.333333333,6,6,0.181481481481,False,0.0501765700421,0.0465490646247
15261099,0.724628643671,1,1.0,7.0,1,1,0.196428571429,False,0.0502093035693,0.0630818103019
44176903,0.774984472155,1,1.2,52.8,5,5,0.0777033730159,False,0.0505386870328,0.0250583918832
8261925,0.649679697174,1,1.5,144.5,2,2,0.134895833333,False,0.050765299492,0.0619931485266
44229723,0.793479042726,1,1.0,44.5,22,22,0.0872804149208,False,0.0511574354518,0.0253452751792
41127744,0.713639098563,1,1.16666666667,25.7666666667,30,30,0.187989692046,False,0.0518736004451,0.0419614994061
44207097,0.64420830176,1,1.0,80.64,75,75,0.177009040549,False,0.0522641989831,0.0786130228492
34366329,0.622035526991,1,1.0,62.0,1,1,0.119047619048,False,0.0550188654327,0.0571092189203
44303445,0.704454499581,1,1.0,12.4,15,15,0.129458204556,False,0.0569286657714,0.0474375345761
31508822,0.753528359599,1,1.02941176471,35.5588235294,34,34,0.167941047998,False,0.060448719052,0.042465707721
40735073,0.664227611239,1,1.75,123.25,8,8,0.19952764977,False,0.0613578473165,0.0663175148136
44162476,0.663964764162,1,6.0,10.5,2,2,0.0841128117914,False,0.0627499611227,0.0519138255899
44215040,0.736230721535,1,1.0,45.9333333333,15,15,0.152332297332,False,0.0641661594991,0.0423882680006
43883205,0.687743864377,1,1.0,31.59375,32,32,0.186067252413,False,0.0644877482269,0.0670210585851
44228548,0.699787167416,1,1.0,74.9411764706,17,17,0.124700096003,False,0.0650042187946,0.0547294865085
