_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,explanation,hiddeninput,relations,events1,explanation_gold,hiddeninput_gold,pair1,pair2,pair3,pair4,pair5,pair6,relations_gold,sentence1,sentence1_id
1540204608,2/7/2018 20:46:47,3345221212,2/7/2018 20:46:22,false,elite,1,44044125,USA,CA,Fremont,65.49.14.54,,,"[""blocked_62_69--services_90_98""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 20:48:23,3345225739,2/7/2018 20:46:46,false,instagc,1,19838540,USA,AL,Mobile,68.63.67.24,,,"[""blocked_62_69-r-cut_37_40""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 20:53:15,3345237635,2/7/2018 20:53:00,false,prodege,1,1914041,USA,MA,Charlestown,132.183.13.252,,,"[""blocked_62_69-r-cut_37_40""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 21:10:55,3345276390,2/7/2018 21:10:37,false,neodev,1,43959305,USA,GA,Atlanta,104.129.18.201,,,"[""blocked_62_69--services_90_98"",""blocked_62_69-r-services_90_98"",""cut_37_40--services_90_98"",""cut_37_40-r-services_90_98""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 21:25:59,3345317177,2/7/2018 21:25:27,false,gifthunterclub,1,43884271,USA,CA,Los Angeles,202.5.18.76,,,"[""blocked_62_69--cut_37_40""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 22:01:56,3345420046,2/7/2018 22:00:57,false,instagc,1,27597031,USA,VA,Blacksburg,45.3.98.110,,,"[""blocked_62_69-r-cut_37_40""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 22:02:01,3345420230,2/7/2018 22:01:41,false,instagc,1,41812828,USA,IL,Chicago,128.135.98.62,,,"[""blocked_62_69-r-cut_37_40""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 22:07:30,3345434508,2/7/2018 22:07:12,false,neodev,1,43939704,USA,GA,Atlanta,104.129.18.7,,,"[""blocked_62_69--services_90_98"",""blocked_62_69-r-services_90_98"",""cut_37_40--services_90_98"",""cut_37_40-r-services_90_98""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 22:10:24,3345441804,2/7/2018 22:10:16,false,gifthunterclub,1,43861575,USA,TX,Dallas,172.106.88.109,,,"[""cut_37_40--services_90_98""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
1540204608,2/7/2018 22:10:43,3345442705,2/7/2018 22:10:08,false,elite,1,44170407,USA,NY,New York,138.197.174.23,,,"[""blocked_62_69--cut_37_40"",""cut_37_40--services_90_98""]",blocked_62_69###cut_37_40###services_90_98,,,"blocked_62_69, cut_37_40","blocked_62_69, services_90_98","cut_37_40, services_90_98",,,,,An undersea telecommunications cable cut on Tuesday partially blocked internet and mobile services in Alexandria and some other governorates .,30_3ecbplus.xml_3
