worker,competence
A2K5ICP43ML4PW,0.8042523708
A15L6WGIK3VU7N,0.8551975291
AHPSMRLKAEJV,0.6904290914
A25QX7IUS1KI5E,0.4734489819
A2RV3FIO3IAZS,0.3481403433
ATP8SOHDM9QOY,0.7975533777
A18941IO2ZZWW6,0.0079000147
A14JQX7IFAICP0,0.0681179966
A1GD3MQELM1R9M,0.6560087179
A11GX90QFWDLMM,0.0133964741
AXBQF8RALCIGV,0.2094276064
AEX5NCH03LWSG,0.7951642176
A1Q4VUJBMY78YR,0.0043825526
AMO4BPP31P1QA,0.98496779
A34AZLVR1033TZ,0.8804644211
A2VKQM4ESHIS95,0.6912635248
AHFO0JTF5WO8J,0.8027015759
A2MN1MDFIH9CEW,0.7880238583
AKZ9MWLHRE34O,0.7795827357
A1JGQL8LIRM598,0.9703724975
A1WH4J0UT8YAPQ,0.8795514977
A22CRWMZUX7FFR,0.7683437433
A37C370E0K9GDI,0.3015301722
A3ODY8U1EQDB8S,0.9703724975
A1FESKIC2CUD4Y,0.699349425
A1APFXFJHE25EE,0.793737524
A1DCEOFAUIDY58,0.7722998627
A19IBSKBTABMR3,0.6365990543
A17RPF5ZMO75GW,0.6918903862
A3U7T47F498T1P,0.8752486304
A3JEUXPU5NEHXR,0.8354444091
A14WWG6NKBDWGP,0.6876689245
A2CJUR18C55EF4,0.7997058686
AKTL5L2PJ2XCH,0.969744313
A37BYUF88E7RZ0,0.3816363558
A19G248ZRHWWHT,0.7723265387
A2BYHSKILYQWEU,0.8786729388
AD4FDBEA9GGFE,0.6853870205
A19PMUTQXDIPLZ,0.8793982862
A3HR7E5S52PME5,0.9702377189
A366APTH5ECXG1,0.7845899943
A16WH8PG6BUGSR,0.7778293147
A3EX8IW960QJ3I,0.8353706726
A2NCIFVGIZESDF,0.7030594467
A1BLK8SJHCYOQK,0.7839340394
A17HNBZF5A1CWF,0.6217535718
A1L1WI1BXLLZZM,0.7841689274
AS51Z6DBWM9JM,0.4396182038
A2O3686VJEDHBU,0.6889456173
