unit,sent_id
3Z33IC0JC0Y8GHBGOGC3KAR6T2G9VP,000404414ef968b59ef635553d5194f9df94537eaa11383f15e56f2a265a01c5:18-20:27-28
3SBX2M1TKDZFE39NLMM2XFHIRHZQ4R,000774b1a72be0ddcae8afd541db1e718fec14fb0bb37f8eed77f5a04c1d00b2:0-2:24-27
3VAOOVPI3Z40LE0VZ9DN2AKZ3WTLLA,003a0197ca03dbf9aa69f01396e0f77a51647445c3aac6f37e76baedec5af20c:12-15:29-30
338GLSUI43N1PZLPX77QJJTAYVTSF6,003c1dc5f17fc5cc65187af1074b32edc6cdc42dcc92570e01cfb95bd7913510:7-9:12-13
3FULMHZ7OU9OTOBVTTFLG6XDGHQ4M7,00403923c48eaafd1023612171a162cbc2717750d67770b56a194fd2dcd019ee:11-13:4-5
3PA41K45VNGRXEQRN75K0MBIDN47P2,00ef3a6638b9775db036db69b4bb9a6f2c3241c742b26af921dd39c6bab5e57f:13-15:2-3
3IKMEYR0LW7J0MW543JH8E8B9ZX2K6,011e6dcf999175785e205b631bc87a8d993ca7e67a4849e11a9ad808b01b9e47:12-15:10-11
3EFNPKWBMS068ELK4AN484YU0ZS03D,016817820d466af93a06099a4ae8c2ae82fc99e957059b10c4c2a22ccaab82a1:18-19:14-16
3FBEFUUYRKH16A6KFEIV4DMRJBRA63,016ac188c08ee3133a158ce1e153643b1d0fbba0c892740b36334efb1883d4b7:9-11:21-25
371QPA24C20BEK4WF8XV4ML2ZFPT1I,01839270c2b3bbc7c0c333660e22d4ffc0df078458059d81dcd5528a7392147c:0-1:7-9
3LN50BUKPVNQCZFTR16UJRTJ86ULP8,0193d92a4db2d76c3ef5d40cc07709b2c3115b033a38aa2e2a17901b761989b6:34-36:16-17
3X4Q1O9UBHY9CEEQ87S5BM6S3I87OL,01d54276cc3794fc7b3bc219b0ab71faecdd2340a41a79f3b3cf0eb335bcad78:9-11:28-30
359AP8GAGGW83PHNI2JEGMCBEDOC7A,01fbf83fa3b49de9d723d134a471664a7e6ca2894893d04c2dde47c646529d20:3-4:25-27
3AA88CN98PF917PCXOQCHI9GO0MYKL,020cda11a74b3c6d60f831a12a7fa6efd00e302c88a1d2449ac36dc9271752f4:20-21:24-25
3XD2A6FGFN6SOPUCUL7Y9N7ZW02S9P,02b222c6f2c0edab0a74f12e7d733f2754fa9792700d6f5a816e58c3d7a77434:0-2:8-12
39WICJI5AT43AZRA840WE31GIVP3Z0,02ce37e748bf3fcfb2d3b30b003823684ed8539590137b838c2b1285fe0a99a8:31-34:35-37
3TFJJUELSH11HOKHCQ2JKVV33O32C3,02fada126aa26138235db91152ec3379964441dfca2e2b5fe0cba07da5b6a7e7:0-2:9-11
3QGHA0EA0JC4JZQICAVVXI5AQFRWBC,032198f28924dff371860c79022b571819f9c8a7fe27ecc3e0edf7f57eb40d11:12-16:6-7
335VBRURDJCRE6PUTQNTK63KUHQE9M,032b94f69e069bd5d5a48240b7e67a8179933a3e0be8f23dc0fc15ec272b4371:8-10:13-17
3S1L4CQSFXHXP3ZVG7LZYJZ4B7WFA6,03822c6de31813ba17d9676568a646f0a21e9ea4a077731d26409ea8693cdd4a:0-2:21-22
382GHPVPHS3N723LNBA6K7O7HD534X,03e6a3b364ea47a370c98f3864d80bd8768ecf2b44d0e472fce8abab0427a62f:18-20:31-32
304QEQWKZPWVU3E6N87WW7W5W92O0D,03f1fe98a02ea0e6d8d541876c6be874b2660545413a30c8e52856c9335047ef:0-1:9-10
3JUDR1D0D635BPU0H83E40KK7BYQ26,046f244612e47f5bf0bfdd17d8403738705b14e4ebf0e40907887a8277d5c4a1:0-2:3-4
