,duration,job,judgment,output.rellist.count,spam,unit,worker-agreement,worker-cosine,wqs
A03922113RU44GENR8ATX,100.365034965,1,715,1.0041958042,False,715,0.825768727981,0.0853756904076,0.86560399813
A110KENBXU7SUJ,42.9193548387,1,62,1.03225806452,False,62,0.827172327231,0.0779901227537,0.856662238993
A11TREGDHSUSJW,84.0,1,1,1.0,False,1,0.928571428571,0.00875929283807,0.990503462312
A12SMSQ6D5227J,76.3333333333,1,3,1.33333333333,False,3,0.530303030303,0.41288686812,0.308708703086
A13I8ASC3JQ04P,51.299734748,1,377,1.01326259947,False,377,0.802878951167,0.117197827786,0.815657699507
A14WWG6NKBDWGP,49.8118518519,1,675,1.0162962963,False,675,0.800843186749,0.0907961387131,0.854440385746
A150CIC6SJN8JC,103.736263736,1,91,1.01098901099,False,91,0.916490057975,0.0544496524429,0.893921009292
A15NNYXDLCI2SR,99.2876712329,1,365,1.01095890411,False,365,0.794799509304,0.10257792264,0.834164418222
A17D6BK59S31BM,118.5,1,6,1.33333333333,False,6,0.713596491228,0.17015749344,0.734341101759
A17J1CE7N49Z9D,100.333333333,1,6,1.0,False,6,0.449462365591,0.424708027616,0.448566740171
A18G2CLYSTENK,62.5775729647,1,651,1.0,False,651,0.794111549548,0.117687734699,0.827562453346
A1909MOQZUXZZ5,217.0,1,1,1.0,False,1,0.607142857143,0.129937159859,0.536325565902
A191DEPTV6AID1,116.666666667,1,3,1.0,False,3,0.956140350877,0.0034188937964,0.955783402235
A19BMRBO5UAD6H,37.0434782609,1,46,1.0,False,46,0.79058196979,0.108451322692,0.824495932887
A1BAEFJ2OG7NJ0,125.0,1,1,1.0,False,1,0.428571428571,0.4,0.331750767896
A1C59M3HPCO503,34.1818181818,1,11,1.0,False,11,0.796291866029,0.0877967883951,0.846360138002
A1CA46R2A6TV9W,18.7045454545,1,44,1.0,False,44,0.824670676032,0.135288498689,0.795146623162
A1CYOGFBBYTW3G,97.0,1,1,1.0,False,1,1.0,0.0,1.0
A1D9FOXZ0UT0L2,27.0,1,1,1.0,False,1,0.355555555556,0.363636363636,0.204124555743
A1DABMXVWWL0TR,197.304347826,1,23,1.17391304348,False,23,0.90265572681,0.0573182981485,0.906582549865
A1DRFDGG2KCOI2,97.5302013423,1,894,1.01006711409,False,894,0.810245147066,0.0919575262343,0.857553724104
A1DXFMUVK5015A,43.6666666667,1,12,1.08333333333,False,12,0.616159361472,0.234220338832,0.599459554747
A1E235KE3CSO7H,118.5,1,2,1.0,False,2,0.55,0.462922400642,0.285520615213
A1EQ2HDHF2WWSY,26.6754966887,1,151,1.0,False,151,0.883330432151,0.0518339417742,0.901359279008
A1FGKIKJYSL1MI,45.0909990109,1,1011,1.1315529179,False,1011,0.760440466493,0.142778778857,0.77601603956
A1G94QON7A9K0N,68.3188976378,1,1016,1.0187007874,False,1016,0.776468906933,0.119036102002,0.809099983963
A1GKEEI844CEKI,73.8419811321,1,424,1.07783018868,False,424,0.741090200421,0.190979747059,0.7050909422
A1I9U0HRRM0E6C,91.6153846154,1,39,1.20512820513,False,39,0.884553274555,0.0451323901697,0.904520089827
A1IFIK8J49WBER,93.75,1,12,1.25,False,12,0.737265512266,0.135505408121,0.798061658696
A1L3937MY09J3I,63.0,1,1,1.0,False,1,0.452380952381,0.237229928604,0.26493609557
A1LUWOV426JV1N,179.56097561,1,41,1.0243902439,False,41,0.73494874883,0.15597811447,0.742811161403
A1NEHADW7ODHQT,195.0,1,1,1.0,True,1,0.22619047619,0.558871226744,0.0903200435569
A1OKNQ2JEXW34Q,47.3333333333,1,3,1.0,False,3,0.942307692308,0.0129751792243,0.943923929817
A1P7U2ULSAE7YL,227.5,1,4,1.5,False,4,0.536706349206,0.296866579516,0.462422074899
A1PJLZSOUQ4MIL,202.007936508,1,252,1.0,False,252,0.828989689742,0.0689868970023,0.874309708124
A1PQNUX4BZE5O0,80.2916666667,1,72,1.20833333333,False,72,0.604756587206,0.238665424102,0.542671036234
A1QNHP262DXUDH,254.0,1,1,1.0,False,1,0.577777777778,0.18010840825,0.571259143373
A1RT9SQ9D9DLOV,88.6390532544,1,169,1.0,False,169,0.750924409828,0.095154063484,0.841678609287
A1RXG8RE0SJ4LC,120.0,1,1,1.0,False,1,0.428571428571,0.4,0.190946476193
A1T9DFT0XOO3V5,66.3125,1,48,3.0,True,48,0.17129982969,0.677033414342,0.035902466338
A1U1XZTSLNDZG5,20.0,1,1,1.0,True,1,0.0,1.0,0.0
A1UP0R6KHEB4O,358.0,1,1,1.0,False,1,1.0,0.0,1.0
A1X94LTZZQMHTP,19.7959183673,1,98,1.01020408163,False,98,0.819948489814,0.0909643743311,0.857053193926
A1XH05IKC77OXO,85.5,1,4,1.0,False,4,0.988636363636,0.000736378624605,0.984399380131
A1Y0Y6U906ABT5,299.0,1,1,1.0,False,1,0.928571428571,0.00294551449842,0.92715376684
A1Z6F664MYBMVI,201.0,1,1,1.0,False,1,0.964285714286,0.00254130016926,0.982060897059
A1Z7S5WSYCVE0K,196.0,1,1,3.0,True,1,0.047619047619,0.905084200425,0.00338218554388
A20BMZQJS92QY2,82.0,1,2,1.0,False,2,0.933333333333,0.00147275724921,0.964619333492
A21753FQKCM5DQ,180.5,1,2,1.5,False,2,0.902777777778,0.0176180893811,0.940932324583
A21I4DTJGWJYQJ,76.6,1,135,1.06666666667,False,135,0.82854817743,0.111879509519,0.826493483613
A22VGT2F28LTWC,88.4788732394,1,71,1.02816901408,False,71,0.674919655931,0.198434942471,0.669612309578
A2460MAJX0NA82,80.0,1,1,1.0,True,1,0.0357142857143,0.900496280979,0.00533182955593
A249TBL7CCUBY7,181.0,1,1,1.0,False,1,0.785714285714,0.0352361787623,0.784047628818
