unit_id,input.sent_id,input.b1,input.b2,input.e1,input.e2,input.relation,input.sentence,input.term1,input.term2,worker,uqs,reason for ambig,max_rel,max_srs,none,org:alternate_names,org:place_of_headquarters,org:subsidiaries,per:cause_of_death,per:charges,per:children,per:employee_or_member_of,per:founded_org,per:origin,per:place_of_birth,per:place_of_death,per:places_of_residence,per:schools_attended,per:spouse,per:title,per:top_member_employee_of_org
958116218,UAD-A-1343,12,0,14,1,"per:employee_or_member_of,per:places_of_residence","Maryland declared independence from Britain in 1776 , with Samuel Chase , William Paca , Thomas Stone , and Charles Carroll of Carrollton signing the Declaration of Independence for the colony .",William Paca,Maryland,14,0.1175349607,,none,0.3163318812,0.3163318812,0,0,0.075844996,0,0.0388531818,0,0.1778595314,0.0950669359,0.1300015934,0,0,0.0673282514,0,0,0,0.1651144414
946357949,UAD-A-2334,35,32,37,34,"per:place_of_birth,per:places_of_residence","`` We want to protest against the Chinese government 's failure to live up to its commitment when it made the bid for hosting the Olympics seven years ago , `` said Hong Kong lawmaker Emily Lau , founder of protest group The Frontier .",Emily Lau,Hong Kong,15,0.1218907664,,org:place_of_headquarters,0.286022061,0.1598691526,0,0.286022061,0,0,0,0,0.2319559249,0,0,0.092266447,0,0.1523961045,0,0,0.0683075685,0.141132893
3UXQ63NLAAYO85EJ8WOTO7OUS5ELBT,769940303c13bf673088616b07ecd03a3e29467a66f9bd1d8335883e3f9cdd24:7-9:2-3,7,2,9,3,org:subsidiaries,The 2011 Valparaiso Crusaders football team represented Valparaiso University in the 2011 NCAA Division I FCS football season .,Valparaiso,Valparaiso University,15,0.138006647,,none,0.2745042992,0.2745042992,0.1708459233,0.244081509,0.1187647158,0,0,0,0.1947793083,0,0.0708980296,0.0369368926,0.0369368926,0,0,0,0,0
1018628225,UAD-A-1241,10,14,12,16,"per:place_of_death,per:places_of_residence",Lake Shore and Michigan Southern Railway : 1869-1914 Around 1877 Cornelius Vanderbilt and his New York Central and Hudson River Railroad gained a majority of stock of the Lake Shore and Michigan Southern Railway .,Cornelius Vanderbilt,New York,15,0.1411646198,,none,0.3514100134,0.3514100134,0,0.1520362789,0.0356416121,0,0,0,0,0.0878252979,0.1127727309,0,0,0.1488347573,0,0,0,0.1114793096
3W5PY7V3UPJEQNJUF3Q0G3938BPYJO,fb0cb26ba7a712d61254a6dd9d0b6223fe2ced951b1b3580a5eae023dd09d8fe:12-14:11-12,11,12,12,14,per:place_of_birth,Scotland 's Alex Arthur is treating his fight with Georgia 's Georgian Koba Gogoladze for the vacant WBO interim belt as a world title fight .,Koba Gogoladze,Georgian,15,0.1457503792,,per:places_of_residence,0.2738590851,0.2705348845,0.075440776,0.049258035,0,0,0,0,0.05346839,0,0.2067474027,0,0,0.2738590851,0,0,0.1478410767,0
3OND0WXMHWRKTC7DR2BLXN18CKLEHE,9664b75d2992e32b542699aac200e8df05bcd0b4329d5f97dceb556cd8e4c229:18-20:13-14,13,18,14,20,per:place_of_birth,"Four of the station 's crew remain inside : Russian Alexander Kaleri and American astronauts Douglas Wheelock , Shannon Walker and Scott Kelly .",Shannon Walker,American,15,0.1542592789,,per:employee_or_member_of,0.4539681513,0.0722937333,0.0913757318,0.0913757318,0,0.02978029,0.02978029,0.02978029,0.4539681513,0,0.1034942911,0.1710919292,0.02978029,0.1297177005,0.02978029,0.02978029,0.2314360597,0.2758652785
1025617577,UAD-A-1852,15,25,17,26,"per:place_of_birth,per:places_of_residence","Space Flower was produced by Ian Broudie and both Chris Sharrock ( drums ) and Ian McNabb ( additional guitars , vocals ) of the Liverpool three piece , the Icicle Works appeared as guest musicians .",Ian McNabb,Liverpool,15,0.1583187409,,none,0.3065027637,0.3065027637,0,0.0771657819,0,0,0.0026900516,0,0.1634298344,0.0026900516,0.1462960173,0.0659816606,0,0.2770106961,0.0026900516,0,0,0.0295949066
1025625350,UAD-A-1169,17,2,19,4,"per:employee_or_member_of,per:origin","JOHANNESBURG , South Africa 2007-12-14 10 : 13 : 54 UTC President Thabo Mbeki and his rival Jacob Zuma emerged as the main candidates for president of the governing African National Congress in nominations last month .",Jacob Zuma,South Africa,15,0.164618687,,per:top_member_employee_of_org,0.3093366577,0.1675276767,0,0,0,0,0,0,0.1936818944,0,0.1674974101,0,0,0.2302029628,0,0,0,0.3093366577
1023395605,UAD-A-1558,12,2,14,3,"per:place_of_birth,per:places_of_residence","PAKISTAN-MOOD ( Karachi , Pakistan ) -- The highway that leads from Benazir Bhutto 's ancestral village to this , her hometown , is one long road of ruin .",Benazir Bhutto,Karachi,15,0.1737089674,,per:places_of_residence,0.3403474483,0.2756779884,0,0.1470873703,0,0,0,0,0.0848607121,0,0.2606309279,0.1515372049,0,0.3403474483,0,0,0,0.0848607121
1023394998,UAD-A-2166,18,24,20,25,"per:places_of_residence,per:place_of_death","This ground was subsequently sold to the Gaelic Athletic Association , and renamed Páirc Uí Rinn , for Christy Ring , a famous County Cork hurler .",Christy Ring,Cork,15,0.1738026239,,per:employee_or_member_of,0.3323649958,0.2816673266,0,0.045824924,0,0,0.089574509,0,0.3323649958,0,0.1158661944,0,0,0.2703343562,0,0,0,0.0908051295
