_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hiddeninput,selectedtags_desc,_pos_tags_vb,doc_id,event_lemma,event_tokens,events,hiddeninput_gold,index,selectedtags_desc_gold,sentence,sentence_id,stanford_lemmas,stanford_pos_tags,tokens,validate_verbs
1368377112,9/6/2017 21:54:18,2811523824,9/6/2017 21:53:13,false,prodege,1,11131207,CAN,ON,Scarborough,99.232.31.152,,"[""called_84_90""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 21:54:28,2811524123,9/6/2017 21:54:11,false,elite,1,43836412,USA,FL,Miami,23.27.45.253,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 21:57:51,2811529440,9/6/2017 21:57:03,false,elite,1,43818472,USA,NJ,Edison,196.53.35.244,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 21:58:59,2811531187,9/6/2017 21:58:46,false,elite,1,43745902,USA,FL,Miami,23.27.45.253,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 22:02:17,2811536353,9/6/2017 22:02:02,false,elite,1,43783971,USA,CA,San Jose,68.68.96.46,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 22:03:17,2811538064,9/6/2017 22:03:12,false,clixsense,1,6576528,CAN,SK,Regina,24.72.133.122,,"[""called_84_90""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 22:04:03,2811539278,9/6/2017 22:03:21,false,elite,1,43792193,USA,FL,Miami,23.27.45.253,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 22:04:51,2811540747,9/6/2017 22:04:38,false,neodev,1,43840516,USA,PA,Bethlehem,71.126.114.235,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 22:06:41,2811543912,9/6/2017 22:05:28,false,coinworker,1,41920197,USA,NY,Buffalo,192.3.224.227,,"[""called_84_90""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
1368377112,9/6/2017 22:10:21,2811549261,9/6/2017 22:10:11,false,neodev,1,43731097,USA,FL,Miami,23.27.45.253,,"[""in_18_20"",""is_52_54"",""called_84_90"",""on_123_125""]",2,VOA19980305.1800.2603,4,4,0,,497,,"An Afghan refugee in Switzerland , Homira Atimadi , is a senior official of a group called the International Working Group on Afghan Women .",6,"a Afghan refugee in Switzerland , Homira Atimadi , be a senior official of a group call the International Working Group on Afghan Women .","DT NNP NN IN NNP , NNP NNP , VBZ DT JJ NN IN DT NN VBD DT NNP NNP NNP IN NNP NNP .",25,in_18_20 is_52_54 called_84_90 on_123_125
